Kode Product,Nama Product,Quantity,Uom
4101030020,CALADINE LOTION 60 ML,60,BOX
4101030030,CALADINE LOTION 95 ML,20,BOX
4201020010,BELSOAP ORI 65 GR,6,BOX
4201020020,BELSOAP SOFT FLORAL 65 GR,5,BOX
4201020030,BELSOAP WHITE MUSK 65 GR,50,BOX
4201030010,CALADINE BABY SOAP 85 GR,700,BOX
4201030040,CAL BABY LIQUID SOAP 110 ml,120,BOX
4201030050,CAL BABY LIQUID SOAP BOTOL 200 ml,1,BOX
4201030080,CAL BABY LIQUID SOAP 210 ML POUCH,1,BOX
4201030100,CAL BABY POWDER 100 Gr,1,BOX
4201030120,CAL BABY POWDER 55 Gr,1,BOX
4201030150,CALADINE CREAM,1,BOX
4201030160,CALADINE GEL 50 ML,1,BOX
4201030170,CAL MOSQUITO REPELLENT 100 ML,1,BOX
4201030180,CALADINE POWDER ACTIVE FRESH 100 GR,1,BOX
4201030190,CALADINE POWDER ACTIVE FRESH 220 GR,1,BOX
4201030200,CALADINE POWDER ACTIVE FRESH 35 GR,1,BOX
4201030210,CALADINE POWDER ACTIVE FRESH 60 GR,1,BOX
4201030220,CALADINE POWDER ORIGINAL 100 GR,1,BOX
4201030230,CALADINE POWDER ORIGINAL 220 Gr,1,BOX
4201030240,CALADINE POWDER ORIGINAL 35 GR,1,BOX
4201030250,CALADINE POWDER ORIGINAL 60 GR,1,BOX
4201030260,CALADINE POWDER SOFT COMFORT 100 GR,1,BOX
4201030270,CALADINE POWDER SOFT COMFORT 220 GR,1,BOX
4201030280,CALADINE POWDER SOFT COMFORT 35 GR,1,BOX
4201030290,CALADINE POWDER SOFT COMFORT 60 GR,1,BOX
4201100010,JF ACNE CARE GEL 10 GR ,1,BOX
4201100020,JF ACNE CARE FACIAL FOAM 70 GR ,1,BOX
4201100030,JF ACNE PROTECT BE SENSITIVE 65 GR,1,BOX
4201100040,JF ACNE PROTECT BE SENSITIVE 90 GR,1,BOX
4201100050,JF ACNE PROTECT GS OILY 65 GR,1,BOX
4201100060,JF ACNE PROTECT GS OILY 90 GR,1,BOX
4201100070,JF ACNE SPOT CARE 65 GR,1,BOX
4201100080,JF ANTI ACNE 65 GR,1,BOX
4201100090,JF ANTI ACNE 90 GR,1,BOX
4201100100,JF BLEMISH CARE GEL 10 GR ,1,BOX
4201100110,JF DERMA PROTECT BO 90 GR,1,BOX
4201100120,JF DERMA PROTECT GC 90 GR,1,BOX
4201100130,JF DERMAMED SOAP 90 GR,1,BOX
4201100140,JF FAMILY BW BLUE OCEAN 200 ML,1,BOX
4201100150,JF FAMILY BW BLUE OCEAN 200 ML POUCH,1,BOX
4201100160,JF FAMILY BW GREEN COOL 195 ML ( POUCH ),1,BOX
4201100170,JF FAMILY BW GREEN COOL 200 ml,1,BOX
4201100180,JF FAMILY BW ORANGE SPIRIT 200 ML,1,BOX
4201100190,JF FAMILY BW ORANGE SPIRIT 200 ML POUCH,1,BOX
4201100200,JF MEN FACIAL FOAM DEEP CLEAN 70 GR,1,BOX
4201100210,JF MEN FACIAL FOAM OIL CLEAR 70 GR,1,BOX
4201100220,JF MILD CARE FACIAL FOAM 70 GR,1,BOX
4201100230,JF TSS ACNE CLEANSING WET WIPES,1,BOX
4201150010,OILUM BODY LOTION BRIGHTENING 70 ML,1,BOX
4201150020,OILUM BODY LOTION HYDRATING 70 ML,1,BOX
4201150090,OILUM BW BRIGHT 175 ML POUCH,1,BOX
4201150100,OILUM BW BRIGHT  210 ml,1,BOX
4201150110,OILUM BW MOIST 175 ML POUCH,1,BOX
4201150120,OILUM BW MOIST 210 ml,1,BOX
4201150190,OILUM SOAP BRIGHTENING 85 Gr,1,BOX
4201150200,OILUM SOAP MOISTURIZING 85 Gr,1,BOX
4201220010,V-MINA FH CL MOUSSE 100 ML,1,BOX
4201220020,V-MINA FH DEO INT MIST 30 ML,1,BOX
4201220030,V-MINA FH LIGHTENING 30 GR,1,BOX
4201220040,V-MINA FH WIPES 10 SHEETS,1,BOX
4202150010,OILUM BW BRIGHT 175 ML BAND 2,1,BOX
4202150020,OILUM BW MOIST 175 ML BND 2,1,BOX
4202150030,OILUM BW MOIST 210 ML BND 2,1,BOX
4201150030,OILUM BRIGHTENING CARE BODY BUTTER 180 GR,1,BOX
4201150070,OILUM BRIGHTENING CARE FACIAL BAR 60 GR,1,BOX
4201150130,OILUM HYDRATING CARE BODY BUTTER 180 GR,1,BOX
4201150170,OILUM HYDRATING CARE FACIAL BAR 60 GR,1,BOX
